Player ID,Year,Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,OWS,DWS,WS,WS/40,erO,erD,erT,Wins Added,W/40 gm,W/40 min
perazja01w,1997,Jasmina Perazic-Gipe,NYL,G-F,9,47,9,47,8.2,0.385,0.385,0.231,0,5.2,14.4,16.5,3.4,0,35,19.2,62,83,-0.2,0.1,-0.1,-0.043,-6.018069022,0.958130534,-5.059938488,-0.012228106,-0.017468723,-0.010406899
crumpca01w,1997,Cassandra Crumpton-Moorer,NYL,G,2,11,2,11,3,0.25,0.25,0.25,0,11.2,11.1,17.1,0,0,20,20.5,62,96,0,0,0,-0.131,-6.84959871,-4.481287957,-11.33088667,-0.040046221,-0.057208887,-0.145622621
timmsmi01w,1997,Michele Timms,PHO,G,27,966,27,966,16.1,0.478,0.419,0.481,0.353,2.8,6.3,29.2,3.9,0.3,19,19.6,96,86,1.8,2.1,3.9,0.163,1.507231375,2.108521699,3.615753074,4.266350809,6.09478687,0.176660489
gilloje01w,1997,Jennifer Gillom,PHO,F-C,28,874,28,874,19.3,0.513,0.46,0.17,0.322,5.9,10.6,6.4,2.2,1.5,11.9,25.1,101,88,2.7,1.8,4.5,0.204,0.55268762,0.615547219,1.168234839,2.706920044,3.867028635,0.123886501
pettibr01w,1997,Bridget Pettis,PHO,G,28,842,28,842,17,0.479,0.398,0.419,0.338,5,7.8,20.4,3.1,1.1,18.2,24,94,88,1.5,1.7,3.2,0.151,0.055096119,0.87613944,0.931235559,2.500240364,3.571771949,0.118776264
webbum01w,1997,Umeki Webb,PHO,G-F,28,775,28,775,10.2,0.376,0.301,0.095,0.424,6.3,9.3,16.8,4.7,0.9,22.7,14.1,80,84,-0.5,2.1,1.6,0.083,-1.083056249,3.342805462,2.259749213,2.856301276,4.080430395,0.147422001
fosteto01w,1997,Toni Foster,PHO,F-C,28,736,28,736,18,0.52,0.47,0.03,0.403,10.2,14.2,8.1,3.9,2.5,18,17.6,98,83,1.4,2.1,3.5,0.192,0.950566351,3.253600304,4.204166654,3.484003325,4.977147608,0.189348007
askamma01w,1997,Marlies Askamp,PHO,C,28,517,28,517,18.2,0.482,0.393,0.006,0.522,14.9,17.3,10,2.3,1.5,17.4,23.1,96,86,1.1,1.2,2.3,0.18,0.217384777,0.341045365,0.558430142,1.431285322,2.044693318,0.110737743
jacksti01w,1997,Tia Jackson,PHO,F,26,320,26,320,11.2,0.44,0.363,0.11,0.342,9.5,11,16.1,3.8,2.2,30.6,17,79,85,-0.3,0.8,0.5,0.063,-2.294102606,1.371835722,-0.922266884,0.630484723,0.900692461,0.07881059
liebena01w,1997,Nancy Lieberman,PHO,G,25,279,25,279,6.4,0.393,0.364,0.338,0.13,2.5,7.1,29.1,2.7,0.6,32.4,19.4,70,88,-0.7,0.5,-0.2,-0.026,-4.760949792,-0.857992724,-5.618942516,-0.156660458,-0.223800655,-0.022460281
hagiwmi01w,1997,Mikiko Hagiwara,PHO,G,12,186,12,186,5,0.38,0.359,0.718,0.256,3.1,4.6,10.2,0.6,0,13.9,12.2,84,95,0,0.1,0.1,0.026,-2.701758378,-2.954503804,-5.656262182,-0.108182141,-0.154545916,-0.023264977
ambermo01w,1997,Monique Ambers,PHO,F,19,85,19,85,6.1,0.449,0.444,0,1.667,13.8,14.5,8.8,0,2,31,12,81,92,0,0.1,0.1,0.038,-3.152676129,-3.493849659,-6.646525787,-0.094811727,-0.135445324,-0.044617283
willita01w,1997,Tara Williams,PHO,G,12,84,12,84,13.8,0.474,0.474,0.282,0,1.4,5.9,9.1,1.9,0,9.3,23,92,91,0.1,0.1,0.2,0.11,-1.803739435,-0.995265583,-2.799005019,0.080522196,0.115031708,0.038343903
becenry01w,1997,Ryneldi Becenti,PHO,G,1,8,1,8,0,,,,,0,0,0,6.7,0,100,5.6,0,85,0,0,0,-0.09,-4.615709024,3.472146889,-1.143562135,0.014807794,0.021153991,0.074038968
tutermo01w,1997,Molly Tuter,PHO,G,3,3,3,3,-25,0,0,0,0,0,0,0,0,0,0,30,0,99,0,0,0,-0.648,-23.89981687,-5.20273852,-29.10255539,-0.039661477,-0.056659253,-0.528819698
tremich01w,1997,Chantel Tremitiere,SAC,G,28,1051,28,1051,8.8,0.45,0.37,0.189,0.459,2.9,6.8,23,2.8,0.1,34.1,15.2,79,101,-0.9,-0.3,-1.1,-0.042,-1.039496878,-1.720739644,-2.760236522,1.034005347,1.477150496,0.039353201
gordobr01w,1997,Bridgette Gordon,SAC,F,28,981,28,981,16.9,0.508,0.45,0.128,0.343,8.3,8.7,16.4,2.1,0.7,18.8,20.1,100,103,2.5,-0.5,1.9,0.079,1.725517733,-2.455455538,-0.729937805,2.043538422,2.919340602,0.083324706
boltoru01w,1997,Ruthie Bolton,SAC,G,23,813,23,813,23.6,0.51,0.483,0.471,0.169,4.6,10.4,17.2,3.6,0.1,11.7,27.3,105,97,3.5,0.3,3.8,0.187,2.693066103,0.461057984,3.154124088,3.403306861,4.861866945,0.167444372
