Player ID,Year,Player,Team,Pos,G,MP,G,MP,PER,TS%,eFG%,3PAr,FTr,ORB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,ORtg,DRtg,,OWS,DWS,WS,WS/40,team code,Tm WS,Tm MP,EWA,Tm EWA,EWSA,Consensus Wins,CW/40
adamsjo01w,2003,Jordan Adams,MIN,C,10,96,10,96,12.7,0.487,0.47,0.364,0.061,14.1,15.9,8.3,1.2,2.6,22.8,22.3,89,100,0,0,0.1,0.1,0.032,2003_MIN,18.1,6850,0.089791045,15.21547264,0.130216538,0.115108269,0.047961779
agnewja01w,2020,Jaylyn Agnew,ATL,F,12,71,12,71,0.1,0.436,0.367,0.867,0.333,0,4.1,5.9,0,0,22.5,13.7,76,115,0,-0.1,0,-0.2,-0.093,2020_ATL,5.1,4449,-0.378666667,5.932845771,-0.391957754,-0.295978877,-0.166748663
aguilel01w,2002,Elisa Aguilar,UTA,G,28,141,28,141,13.3,0.596,0.591,0.636,0.212,0,4.9,20.5,1.2,1.1,23.4,15.4,105,104,0,0.3,0,0.3,0.083,2002_UTA,18.6,6450,0.173970149,17.28338308,0.202752007,0.251376004,0.071312341
ajavoma01w,2008,Matee Ajavon,HOU,G,34,604,34,604,12,0.423,0.355,0.237,0.322,6.8,6.1,19.1,2.6,0.9,14.3,27.6,90,102,0,0,0.4,0.4,0.026,2008_HOU,15.6,6925,0.354587065,12.39164179,0.634420763,0.517210381,0.034252343
ajavoma01w,2009,Matee Ajavon,WAS,G,34,587,34,587,12.4,0.451,0.391,0.324,0.435,5.4,6.5,11.8,3.2,0.5,14.2,25.9,93,98,0,0.1,0.9,0.9,0.064,2009_WAS,15.8,6873,0.461422886,10.52350249,0.912070934,0.906035467,0.061740066
ajavoma01w,2010,Matee Ajavon,WAS,G,34,497,34,497,11.4,0.444,0.369,0.257,0.393,4.3,6.9,17,4.1,0.3,18.8,25.3,89,95,0,-0.4,1.1,0.7,0.056,2010_WAS,23.7,6849,0.143412935,12.79344279,0.934850946,0.817425473,0.06578877
ajavoma01w,2011,Matee Ajavon,WAS,G,34,1065,34,1065,14.6,0.494,0.433,0.301,0.315,3.3,4.7,20.7,2.9,0.7,17.2,26.1,97,107,0,1,0.2,1.2,0.047,2011_WAS,6.6,6876,2.002835821,7.716208955,1.829950053,1.514975027,0.05690047
ajavoma01w,2012,Matee Ajavon,WAS,G,33,712,33,712,9.7,0.423,0.356,0.376,0.296,3.4,5.3,17.7,4,0.7,17.3,24.2,85,104,0,-0.9,0.5,-0.4,-0.023,2012_WAS,4.4,6826,-0.396736318,6.064069652,-0.570310533,-0.485155267,-0.027255914
ajavoma01w,2013,Matee Ajavon,WAS,G,34,772,34,772,12.2,0.483,0.4,0.238,0.456,3.7,4.4,23,2.2,0.3,19.3,22.4,94,102,0,0.5,0.6,1.1,0.055,2013_WAS,17.5,6875,0.530029851,11.66766169,1.184948422,1.142474211,0.059195555
ajavoma01w,2014,Matee Ajavon,ATL,G,24,220,24,220,3.3,0.389,0.287,0.167,0.537,5.1,4.7,10.8,2.5,0.4,24.8,17.3,76,100,0,-0.5,0.3,-0.2,-0.041,2014_ATL,20.4,6975,-0.823084577,14.34044776,-0.631958915,-0.415979458,-0.075632629
ajavoma01w,2015,Matee Ajavon,ATL,G,33,580,33,580,13.7,0.5,0.414,0.11,0.448,4.2,8.5,23.4,4.1,0.7,23.5,18.9,95,98,0,0.3,0.8,1.1,0.074,2015_ATL,14.7,6851,0.831044776,11.65904478,1.088489533,1.094244767,0.075465156
ajavoma01w,2016,Matee Ajavon,ATL,G,32,338,32,338,6.4,0.387,0.318,0.11,0.339,6.4,8.8,18.7,1.8,1.8,19.6,21.6,81,105,0,-0.8,0.4,-0.4,-0.049,2016_ATL,15.9,6950,-0.743263682,12.04189055,-0.555631884,-0.477815942,-0.056546265
ajavoma01w,2017,Matee Ajavon,ATL,G,31,250,31,250,5.8,0.403,0.289,0.053,0.513,3.9,8.7,19.1,2.2,0,23.1,21,78,103,0,-0.7,0.3,-0.4,-0.058,2017_ATL,13.1,6903,-0.624378109,9.341661692,-0.488265611,-0.444132805,-0.071061249
akhatev01w,2017,Evelyn Akhator,DAL,F,15,61,15,61,3.3,0.349,0.25,0,0.375,12.6,8.7,0,0.8,3.8,21.2,16.3,75,112,0,-0.2,0,-0.2,-0.107,2017_DAL,14.2,6900,-0.228218905,14.63830846,-0.232093806,-0.216046903,-0.1416701
alaribe01w,2020,Bella Alarie,DAL,C-F,22,309,22,309,10.1,0.414,0.371,0.197,0.182,8.2,11.9,5.5,2.3,4.8,13.4,11.9,94,107,0,-0.1,0.3,0.2,0.023,2020_DAL,7.9,4449,-0.110686567,9.430656716,-0.216996508,-0.008498254,-0.001100098
alaribe01w,2021,Bella Alarie,DAL,C-F,31,407,31,407,14.1,0.556,0.5,0.031,0.313,11.5,14.5,6,2.3,4.4,19.8,9.9,113,102,0,0.6,0.6,1.2,0.116,2021_DAL,15,6449,0.664159204,13.75010945,0.743040496,0.971520248,0.095481105
alberma01w,1997,Marcie Alberts,CLE,G,5,30,5,30,-1,0,0,1,0,0,2.1,15.7,3.6,0,60,7.8,27,94,0,-0.1,0,-0.1,-0.138,1997_CLE,15.6,5675,-0.17641791,13.61208955,-0.165909133,-0.132954566,-0.177272755
aldrima01w,1999,Markita Aldridge,WAS,G,31,379,31,379,5.1,0.373,0.324,0.213,0.351,4.3,6.3,17.1,2.3,1.5,27.4,19.2,70,100,0,-1.1,0.3,-0.9,-0.092,1999_WAS,9.4,6475,-1.078547264,7.316616915,-0.95660098,-0.92830049,-0.097973666
aldrima01w,2000,Markita Aldridge,WAS,G,29,272,29,272,8.2,0.495,0.519,0.222,0.407,4.1,6.1,18.4,1.9,1.3,29.8,16.6,83,104,0,-0.3,0.1,-0.2,-0.025,2000_WAS,14.2,6400,-0.354547264,15.34527363,-0.403221393,-0.301610697,-0.044354514
aldrima01w,2001,Markita Aldridge,WAS,G,5,35,5,35,-1.1,0.371,0.333,0.333,0.111,6.8,3.5,11.8,0,0,29.8,19,66,106,0,-0.1,0,-0.1,-0.162,2001_WAS,8.3,6500,-0.207562189,7.561840796,-0.203587486,-0.151793743,-0.173478563
alexaer01w,1998,Erin Alexander,LAS,G,8,73,8,73,11,0.481,0.455,0.727,0.091,13.2,12.3,14.5,1.5,0,23.4,18.3,94,99,0,0.1,0,0.1,0.062,1998_LAS,14.1,6025,0.006537313,11.74283582,0.035097145,0.067548572,0.037012916
alexaer01w,1998,Erin Alexander,UTA,G,12,68,12,68,1.3,0.372,0.341,0.864,0.091,0,2.6,7.8,0.8,0,17.9,18.7,72,108,0,-0.1,-0.1,-0.2,-0.125,1998_UTA,6,6050,-0.322069652,10.10442786,-0.368202064,-0.284101032,-0.167118254
alexaka01w,2013,Kayla Alexander,SAS,C,33,371,33,371,8.7,0.473,0.417,0,0.357,12.6,15.6,4.6,0.6,3,26.5,16.2,85,104,0,-0.3,0.1,-0.1,-0.016,2013_SAS,8.8,6823,-0.391303483,11.0520597,-0.513759023,-0.306879511,-0.03308674
alexaka01w,2014,Kayla Alexander,SAS,C,33,298,33,298,10.6,0.513,0.434,0,0.408,10.6,13.7,3.3,0.7,2.6,19.7,17.5,96,106,0,0.2,0.1,0.3,0.036,2014_SAS,15.9,6901,-0.032616915,16.53635821,-0.060096229,0.119951885,0.016100924
alexaka01w,2015,Kayla Alexander,SAS,C,29,358,29,358,10.8,0.462,0.416,0,0.382,9.3,15.6,3.2,0.9,5,18.8,16.6,86,99,0,-0.2,0.5,0.2,0.024,2015_SAS,4.9,6826,-0.003562189,5.812776119,-0.051434127,0.074282936,0.008299769
alexaka01w,2016,Kayla Alexander,SAS,C,25,489,25,489,17,0.596,0.546,0,0.433,11.2,13.8,5.3,1.2,2.1,14.3,18.5,111,106,0,1.1,0.5,1.5,0.124,2016_SAS,6.9,6876,1.503492537,4.965512438,1.641067351,1.570533675,0.128469012
alexaka01w,2017,Kayla Alexander,SAS,C,34,522,34,522,16.6,0.607,0.582,0,0.133,10.4,12.5,6.3,1.5,2.7,15.5,17.8,110,105,0,1,0.5,1.5,0.115,2017_SAS,8.5,6851,1.501074627,6.494119403,1.653909202,1.576954601,0.120839433
alexaka01w,2018,Kayla Alexander,IND,C,30,257,30,257,11.8,0.584,0.541,0,0.279,8.9,14.7,3.3,0.8,3.3,21.7,15.5,100,108,0,0.1,0.2,0.3,0.048,2018_IND,4.9,6900,0.125303483,6.04920398,0.082499798,0.191249899,0.029766521
alexaka01w,2019,Kayla Alexander,CHI,C,3,20,3,20,20.9,0.781,0.75,0,1,11.9,19.6,7.9,0,0,14.8,14.7,142,103,0,0.1,0,0.1,0.264,2019_CHI,18.4,6825,0.100298507,16.64676617,0.105436189,0.102718095,0.205436189
alexaka01w,2020,Kayla Alexander,MIN,C,16,89,16,89,13.7,0.552,0.533,0,0.267,12.4,10.3,5.8,1.2,3.2,15.2,19.9,106,108,0,0.1,0.1,0.2,0.085,2020_MIN,14.2,4399,0.127522388,12.28742289,0.166217401,0.183108701,0.082296045
alhalta01w,2001,Tawona Alhaleem,ORL,F-G,26,252,26,252,4.8,0.382,0.362,0.19,0.241,7.6,10,10.7,2.5,0,30.4,17.4,68,100,0,-0.7,0.1,-0.6,-0.095,2001_ORL,12.8,6450,-0.754746269,12.63572139,-0.748327942,-0.674163971,-0.107010154
allemju01w,2020,Julie Allemand,IND,G,22,716,22,716,13.1,0.639,0.619,0.687,0.224,1.3,8.4,27.5,1.8,1,27.9,12.6,110,113,0,1,-0.1,1,0.055,2020_IND,3.9,4401,0.812179104,6.457154229,0.396154922,0.698077461,0.038998741
allemju01w,2022,Julie Allemand,CHI,G,25,402,25,402,10.8,0.545,0.492,0.517,0.3,2.8,5.8,28.3,1.8,0.6,32.7,11.4,104,105,0,0.4,0.4,0.8,0.081,2022_CHI,24.7,7275,-0.004,21.56069652,0.16947079,0.484735395,0.048232378
allench01w,2008,Charel Allen,SAC,G,6,49,6,49,7,0.5,0.5,0.375,0,4.8,7.6,12.1,1.1,0,27.3,19.7,82,103,0,-0.1,0,0,-0.033,2008_SAC,17,6802,-0.093124378,12.3098806,-0.059337867,-0.029668933,-0.024219537
allenli01w,2017,Lindsay Allen,NYL,G,28,376,28,376,9,0.399,0.371,0.21,0.161,3.1,6.4,24.6,2.2,0.2,22.2,10,95,101,0,0,0.6,0.6,0.067,2017_NYL,22.1,6825,-0.340457711,13.50124378,0.133261312,0.366630656,0.039003261
allenli01w,2018,Lindsay Allen,LVA,G,24,358,24,358,9.8,0.443,0.39,0.219,0.329,0.9,4.7,27.5,2.1,0,20.1,12.5,96,110,0,0,0.2,0.2,0.02,2018_LVA,12,6623,-0.181671642,12.70041791,-0.219532069,-0.009766035,-0.001091177
allenli01w,2020,Lindsay Allen,LVA,G,21,284,21,284,10.5,0.497,0.47,0.258,0.152,2.6,4.6,25,1.2,0.3,18.5,13.4,104,104,0,0.3,0.4,0.6,0.088,2020_LVA,17.9,4400,-0.04521393,14.21144279,0.192865672,0.396432836,0.055835611
allenli01w,2021,Lindsay Allen,IND,G,32,571,32,571,13.6,0.517,0.474,0.309,0.243,1.8,5,28.2,1.5,0.4,15.6,15.6,107,113,0,0.9,-0.2,0.7,0.049,2021_IND,3.4,6399,0.789741294,7.205482587,0.450167836,0.575083918,0.040286089
allenli01w,2022,Lindsay Allen,MIN,G,9,134,9,134,21.4,0.686,0.632,0.368,0.342,0,6.1,38.5,0.8,0,13.8,16.9,136,110,0,0.7,0,0.8,0.233,2022_MIN,15.5,7253,0.705333333,14.43061692,0.725090307,0.762545154,0.227625419
allenli01w,2023,Lindsay Allen,MIN,G,29,698,29,698,11.3,0.48,0.42,0.209,0.325,2.8,5.9,29.3,1.2,0.4,16.6,14.5,105,111,0,0.8,0.2,0.9,0.054,2023_MIN,12.3,8050,0.166686567,12.48527363,0.150621847,0.525310924,0.030103778
allenli01w,2024,Lindsay Allen,CHI,G,4,57,4,57,14.1,0.622,0.625,0.063,0.125,1.8,4.8,14.6,2.7,0,19.2,15.4,107,107,0,0.1,0,0.1,0.078,2024_CHI,2.1,800,0.093014925,2.044129353,0.096995709,0.098497854,0.069121301
allenre01w,2015,Rebecca Allen,NYL,G,2,34,2,34,7.4,0.3,0.3,0.4,0,7,15.6,0,4.7,5,23.1,17.5,56,83,0,-0.2,0.1,0,-0.032,2015_NYL,22.7,6850,-0.057850746,13.60054726,-0.012685579,-0.00634279,-0.007462106
allenre01w,2016,Rebecca Allen,NYL,G,21,280,21,280,14.6,0.574,0.546,0.306,0.153,4.9,7.1,6.9,1.6,3.2,11.1,18.4,110,102,0,0.5,0.4,0.9,0.134,2016_NYL,18.9,6975,0.526567164,13.17064677,0.756562706,0.828281353,0.118325908
allenre01w,2017,Rebecca Allen,NYL,G,33,304,33,304,10.6,0.449,0.45,0.436,0.059,4.9,12.6,9.2,2,3.5,14.8,17.7,90,95,0,-0.2,0.7,0.5,0.07,2017_NYL,22.1,6825,-0.033273632,13.50124378,0.349733239,0.424866619,0.055903503
allenre01w,2018,Rebecca Allen,NYL,G,28,291,28,291,9.9,0.478,0.426,0.376,0.248,5.1,9.6,4.6,1.6,3.3,12.5,19.9,92,108,0,-0.2,0.3,0.1,0.011,2018_NYL,7.2,6851,-0.13319403,6.310835821,-0.095426291,0.002286854,0.000314344
allenre01w,2019,Rebecca Allen,NYL,G,24,412,24,412,13.5,0.527,0.51,0.436,0.103,3.3,8.4,7.4,1.5,3.6,9.4,19.1,101,107,0,0.5,0.2,0.6,0.059,2019_NYL,6.2,6800,0.549333333,7.975074627,0.441784694,0.520892347,0.050572073
allenre01w,2021,Rebecca Allen,NYL,G,25,615,25,615,14.3,0.493,0.454,0.583,0.171,3.7,8.6,7.8,3.2,4,8.3,18.6,97,101,0,0.3,0.9,1.2,0.075,2021_NYL,7.5,6425,1.064776119,6.107014925,1.198112434,1.199056217,0.077987396
allenre01w,2022,Rebecca Allen,NYL,G,25,523,25,523,11.3,0.485,0.456,0.491,0.142,1.8,9.3,10.1,2.1,3.9,11.8,17.9,92,102,0,-0.2,0.8,0.6,0.047,2022_NYL,13.8,7273,0.124895522,10.46325373,0.364840291,0.482420145,0.036896378
allenre01w,2023,Rebecca Allen,CON,G,40,858,40,858,11.9,0.506,0.492,0.479,0.113,3.9,7.9,6.8,2.2,5.3,11.9,15.1,98,99,0,0.2,1.7,1.9,0.087,2023_CON,25.7,8074,0.461014925,19.14841791,1.157232096,1.528616048,0.071264151
allenre01w,2024,Rebecca Allen,PHO,F-G,5,121,5,121,5.6,0.428,0.424,0.545,0.061,3.8,8.4,6.3,0.8,2.2,12.9,13.8,84,112,0,-0.1,0,-0.1,-0.044,2024_PHO,1.9,1000,-0.314238806,2.278606965,-0.360050249,-0.230025124,-0.076041363
alleyji01w,2019,Jillian Alleyne,MIN,C-F,5,14,5,14,16,0.333,0.333,0,0,17.7,21.9,11.6,0,6.2,0,19.2,95,97,0,0,0,0,0.087,2019_MIN,20.1,6800,0.036079602,15.43079602,0.045692669,0.022846335,0.065275241
alleyji01w,2021,Jillian Alleyne,WAS,C-F,2,8,2,8,6.6,0,0,0,0,13.5,28.7,0,6.4,0,0,11.3,35,90,0,0,0,0,-0.083,2021_WAS,10.2,6424,-0.01679602,10.84418905,-0.017598248,-0.008799124,-0.04399562
alstoam01w,2016,Ameryst Alston,NYL,G,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2016_NYL,18.9,6975,0,13.17064677,0,0,
alstoam01w,2017,Ameryst Alston,NYL,G,2,3,2,3,29.8,0.5,0.5,0,0,38.2,38,83.8,0,0,33.3,44.2,92,98,0,0,0,0,0.035,2017_NYL,22.1,6825,0.028328358,13.50124378,0.032108031,0.016054016,0.214053542
amachma01w,2001,Mactabene Amachree,NYL,F,2,3,2,3,5.6,0.568,0,0,0,45.7,22.5,0,0,31.3,53.2,32.3,74,88,0,0,0,0,-0.075,2001_NYL,19.7,6400,-0.007791045,18.18686567,-0.007081763,-0.003540882,-0.047211754
amachma01w,2003,Mactabene Amachree,SEA,F,7,47,7,47,5.1,0.34,0.3,0,0.4,11.3,19.3,0,6.3,3.6,43.4,21.9,48,83,0,-0.4,0.2,-0.2,-0.163,2003_SEA,22,6850,-0.133751244,18.83149254,-0.11201112,-0.15600556,-0.132770689
amachma01w,2005,Mactabene Amachree,WAS,F,3,3,3,3,26,0.532,0,0,2,0,0,0,0,0,0,32.7,127,110,0,0,0,0,0.32,2005_WAS,15.6,6900,0.022656716,14.90114428,0.022960567,0.011480283,0.153070445
ambermo01w,1997,Monique Ambers,PHO,F,19,85,19,85,6.1,0.449,0.444,0,1.667,13.8,14.5,8.8,0,2,31,12,81,92,0,0,0.1,0.1,0.038,1997_PHO,19.7,5675,-0.19960199,11.83880597,-0.081857234,0.009071383,0.004268886
ambermo01w,2002,Monique Ambers,SAC,F,2,4,2,4,-10.2,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,-0.028,2002_SAC,9.5,6575,-0.041830846,9.23159204,-0.041667556,-0.020833778,-0.208337779
amihela01w,2023,Laeticia Amihere,ATL,F,20,147,20,147,8.8,0.466,0.405,0.024,0.976,3.8,7.6,4.4,1.7,5.2,15.5,21.2,86,102,0,-0.2,0.2,0,0.006,2023_ATL,17.2,8051,-0.147731343,12.52899502,-0.062445325,-0.031222663,-0.008495963
amihela01w,2024,Laeticia Amihere,ATL,F,3,6,3,6,19.3,0.333,0.333,0,0,36.8,38.9,0,0,0,0,22.4,102,108,0,0,0,0,0.076,2024_ATL,2,798,0.025313433,2.307681592,0.023000037,0.011500019,0.076666791
anderam01w,2006,Ambrosia Anderson,NYL,F,3,9,3,9,1.9,0,0,0,0,13.7,14,0,6,0,50,10.5,26,97,0,-0.1,0,0,-0.182,2006_NYL,6.1,6876,-0.039940299,7.863870647,-0.04224903,-0.021124515,-0.093886733
